Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
18-04-2020,USA,330774664,3722145,738792,39014,68269,13551,631509
18-04-2020,Russia,145927292,1831892,36793,313,3057,8,33423
18-04-2020,Spain,46752703,930230,194416,20043,74797,7371,99576
18-04-2020,Brazil,212380932,62985,36722,2361,14026,6634,20335
18-04-2020,UK,67844241,460437,114217,15464,,1559,98409
18-04-2020,Italy,60471924,1305833,175925,23227,44927,2733,107771
18-04-2020,France,65256826,463662,151793,19323,35983,5833,96487
18-04-2020,Germany,83752855,1728357,143724,4538,85400,2922,53786
18-04-2020,Turkey,84230075,598933,82329,1890,10453,1894,69986
18-04-2020,Iran,83862642,330137,80868,5031,55987,3513,19850
18-04-2020,India,1378381772,335123,16365,521,2463,,13381
18-04-2020,Peru,32915899,135895,14420,348,6684,117,7388
18-04-2020,China,1439323776,,82719,4632,77029,85,1058
18-04-2020,Canada,37702769,516216,33383,1470,11207,557,20706
18-04-2020,Saudi Arabia,34747330,150000,8274,92,1329,78,6853
18-04-2020,Belgium,11583739,145997,37183,5453,8348,1119,23382
18-04-2020,Mexico,128770253,48365,6875,546,2125,207,4204
18-04-2020,Chile,19096687,108891,9730,126,4035,360,5569
18-04-2020,Netherlands,17130492,154911,31589,3601,,1279,27738
18-04-2020,Pakistan,220356788,92548,7638,143,1832,46,5663
18-04-2020,Qatar,2875047,60139,5008,8,510,37,4490
18-04-2020,Ecuador,17610231,30922,9022,456,1008,168,7558
18-04-2020,Switzerland,8647139,216400,27404,1368,17100,386,8936
18-04-2020,Belarus,9449678,86813,4779,45,342,65,4392
18-04-2020,Sweden,10091856,74600,13822,1511,550,1054,11761
18-04-2020,Portugal,10200063,235878,19685,687,610,228,18388
18-04-2020,Singapore,5844888,94796,5992,11,740,23,5241
18-04-2020,Ireland,4931150,90646,14758,571,77,294,14110
18-04-2020,UAE,9875965,767000,6302,37,1188,1,5077
18-04-2020,Bangladesh,164493041,21307,2144,84,66,1,1994
18-04-2020,Poland,37851327,192960,8742,347,981,160,7414
18-04-2020,Ukraine,43762985,52534,5106,133,275,45,4698
18-04-2020,Indonesia,273176544,39422,6248,535,631,,5082
18-04-2020,Romania,19251921,90991,8418,421,1730,248,6267
18-04-2020,Israel,8638917,187250,13265,164,3456,164,9645
18-04-2020,South Africa,59218133,108021,3034,52,903,36,2079
18-04-2020,Japan,126520115,111325,10296,222,1069,221,9005
18-04-2020,Colombia,50817787,59002,3621,166,691,98,2764
18-04-2020,Austria,9000366,175932,14671,443,10214,208,4014
18-04-2020,Kuwait,4262847,,1751,6,280,34,1465
18-04-2020,Egypt,102094004,55000,3032,224,701,,2107
18-04-2020,Dominican Republic,10834889,14373,4335,217,312,146,3806
18-04-2020,Philippines,109403890,56048,6087,397,516,1,5174
18-04-2020,S. Korea,51264120,546463,10653,232,7937,55,2484
18-04-2020,Denmark,5789832,91437,7242,346,3847,76,3049
18-04-2020,Serbia,8741321,36028,5994,117,637,126,5240
18-04-2020,Panama,4306425,18559,4210,116,122,96,3972
18-04-2020,Czechia,10706690,162533,6606,181,1227,86,5198
18-04-2020,Argentina,45146322,30942,2839,132,685,127,2022
18-04-2020,Norway,5416217,139668,7036,164,32,63,6840
18-04-2020,Algeria,43752773,3359,2534,367,894,60,1273
18-04-2020,Bahrain,1693667,82568,1773,7,755,3,1011
18-04-2020,Afghanistan,38817349,,933,30,112,,791
18-04-2020,Australia,25464216,406510,6586,70,4167,55,2349
18-04-2020,Morocco,36857758,13689,2685,137,314,1,2234
18-04-2020,Malaysia,32315733,100794,5305,88,3102,49,2115
18-04-2020,Kazakhstan,18749587,100878,1615,17,377,22,1221
18-04-2020,Finland,5539729,55600,3681,90,1700,70,1891
18-04-2020,Nigeria,205486161,7153,542,19,166,2,357
18-04-2020,Moldova,4035024,9848,2351,57,391,80,1903
18-04-2020,Ghana,30991423,60916,834,9,99,4,726
18-04-2020,Oman,5089968,,1180,6,176,3,998
18-04-2020,Armenia,2962604,11796,1248,20,523,30,705
18-04-2020,Bolivia,11653648,3569,493,31,31,3,431
18-04-2020,Luxembourg,624724,33252,3537,72,601,32,2864
18-04-2020,Iraq,40108260,53955,1513,82,953,,478
18-04-2020,Hungary,9663123,43901,1834,172,231,60,1431
18-04-2020,Cameroon,26461313,,1017,42,305,33,670
18-04-2020,Azerbaijan,10128288,86607,1373,18,590,21,765
18-04-2020,Thailand,69779718,100498,2733,47,1787,61,899
18-04-2020,Greece,10428746,53290,2235,110,269,67,1856
18-04-2020,Guinea,13086759,,518,3,65,,450
18-04-2020,Uzbekistan,33409960,136000,1490,5,194,8,1291
18-04-2020,Honduras,9885245,2396,457,46,10,10,401
18-04-2020,Sudan,43719159,,66,10,6,,50
18-04-2020,Senegal,16687100,,350,3,211,1,136
18-04-2020,Bosnia and Herzegovina,3283087,16868,1268,47,338,4,883
18-04-2020,Bulgaria,6954222,26417,878,41,153,35,684
18-04-2020,Croatia,4108081,21647,1832,39,615,27,1178
18-04-2020,Ivory Coast,26294743,,801,8,239,,554
18-04-2020,Guatemala,17874358,7200,235,7,21,3,207
18-04-2020,Cuba,11327404,25309,986,32,227,15,727
18-04-2020,North Macedonia,2083384,11556,1170,49,164,15,957
18-04-2020,Iceland,340982,41091,1760,9,1291,3,460
18-04-2020,Estonia,1326433,39605,1512,38,162,11,1312
18-04-2020,Tajikistan,9510530,,,,,,
18-04-2020,Lithuania,2726360,58816,1239,33,228,14,978
18-04-2020,DRC,89204344,,307,25,26,,256
18-04-2020,Djibouti,986245,7486,732,2,76,,654
18-04-2020,New Zealand,4817585,79078,1422,11,867,3,544
18-04-2020,Slovakia,5459339,40953,1089,11,213,10,865
18-04-2020,Slovenia,2078905,40580,1317,70,190,27,1057
18-04-2020,Somalia,15835721,,135,7,2,2,126
18-04-2020,Gabon,2219053,572,108,1,7,,100
18-04-2020,El Salvador,6482375,10191,190,7,43,1,140
18-04-2020,Mayotte,271976,1800,254,4,117,6,133
18-04-2020,Kyrgyzstan,6510930,26147,506,5,130,5,371
18-04-2020,Maldives,539365,3714,35,,16,,19
18-04-2020,Hong Kong,7489763,131786,1024,4,568,9,452
18-04-2020,Tunisia,11803787,14640,866,37,43,33,786
18-04-2020,Guinea-Bissau,1962083,1500,46,,,,46
18-04-2020,Latvia,1888464,34697,712,5,88,5,619
18-04-2020,Sri Lanka,21402783,4768,254,7,86,1,161
18-04-2020,Albania,2878155,5311,548,26,302,5,220
18-04-2020,Lebanon,6828869,20225,672,21,99,30,552
18-04-2020,Cyprus,1206320,32284,761,12,79,8,670
18-04-2020,Kenya,53621669,10784,262,12,60,2,190
18-04-2020,Niger,24088734,4715,639,19,113,,507
18-04-2020,Mali,20174887,,216,13,41,,162
18-04-2020,Costa Rica,5088572,10138,655,4,97,10,554
18-04-2020,Burkina Faso,20829100,,565,36,321,,208
18-04-2020,Paraguay,7121943,4950,202,8,35,1,159
18-04-2020,Andorra,77251,1673,704,35,205,17,464
18-04-2020,Zambia,18317156,2191,57,2,33,1,22
18-04-2020,Uruguay,3472331,12478,517,9,298,14,210
18-04-2020,Equatorial Guinea,1396874,854,79,,4,,75
18-04-2020,Georgia,3990035,5027,388,4,86,6,298
18-04-2020,San Marino,33923,1605,455,39,60,15,356
18-04-2020,Jordan,10191015,20500,413,7,269,5,137
18-04-2020,Venezuela,28445034,299714,227,9,117,4,101
18-04-2020,Malta,441407,23253,426,3,99,4,324
18-04-2020,Channel Islands,173672,3320,484,21,73,,390
18-04-2020,Haiti,11385726,498,44,3,,,41
18-04-2020,Jamaica,2959659,1516,163,5,25,,133
18-04-2020,Chad,16364523,,33,,8,,25
18-04-2020,Sierra Leone,7956645,,30,,,,30
18-04-2020,Tanzania,59512999,,147,5,11,4,131
18-04-2020,Réunion,894557,,407,,237,4,170
18-04-2020,Taiwan,23811805,52445,398,6,178,,214
18-04-2020,Congo,5500730,,143,6,11,,126
18-04-2020,Palestine,5086351,17329,418,2,69,,347
18-04-2020,Nepal,29071791,15800,31,,3,,28
18-04-2020,Ethiopia,114599417,6890,105,3,16,1,86
18-04-2020,Benin,12082333,,35,1,18,,16
18-04-2020,Isle of Man,84980,2414,297,6,180,11,111
18-04-2020,Mauritius,1271525,9755,325,9,180,3,136
18-04-2020,Togo,8254058,4191,84,5,49,,30
18-04-2020,Cabo Verde,555261,,58,1,1,,56
18-04-2020,CAR,4819377,,12,,4,,8
18-04-2020,Montenegro,628057,3874,307,5,55,7,247
18-04-2020,Vietnam,97234232,206253,268,,201,8,67
18-04-2020,Madagascar,27599599,2357,120,,35,1,85
18-04-2020,Rwanda,12911155,6237,144,,69,,75
18-04-2020,South Sudan,11177895,,4,,,,4
18-04-2020,Uganda,45550580,11101,55,,22,,33
18-04-2020,Sao Tome and Principe,218653,19,4,,,,4
18-04-2020,Liberia,5042565,,76,7,7,,62
18-04-2020,French Guiana,297687,,96,,64,2,32
18-04-2020,Eswatini,1158724,714,22,1,8,,13
18-04-2020,Martinique,375298,,163,12,73,11,78
18-04-2020,Myanmar,54366792,4065,98,5,5,,88
18-04-2020,Faeroe Islands,48841,5981,184,,173,,11
18-04-2020,Guadeloupe,400116,,148,8,73,13,67
18-04-2020,Gibraltar,33692,1859,132,,111,1,21
18-04-2020,Mozambique,31141818,952,35,,4,,31
18-04-2020,Brunei,436979,11254,137,1,113,2,23
18-04-2020,Mongolia,3271795,1450,31,,5,,26
18-04-2020,Yemen,29742981,,1,,,,1
18-04-2020,Bermuda,62304,552,83,5,35,9,43
18-04-2020,Guyana,786108,283,63,6,9,4,48
18-04-2020,Cambodia,16690788,5768,122,,103,1,19
18-04-2020,Trinidad and Tobago,1398962,1320,114,8,21,,85
18-04-2020,Aruba,106713,1358,96,2,44,4,50
18-04-2020,Monaco,39209,,94,3,22,3,69
18-04-2020,Bahamas,392795,,55,9,10,1,36
18-04-2020,Cayman Islands,65629,702,61,1,7,3,53
18-04-2020,Barbados,287335,1000,75,5,17,4,53
18-04-2020,Liechtenstein,38115,900,79,1,55,,23
18-04-2020,Mauritania,4633922,913,7,1,6,,0
18-04-2020,Sint Maarten,42817,163,64,9,12,6,43
18-04-2020,Malawi,19066433,417,17,2,3,1,12
18-04-2020,Libya,6859926,707,49,1,11,,37
18-04-2020,French Polynesia,280717,1302,55,,2,1,53
18-04-2020,Syria,17446406,,38,2,5,,31
18-04-2020,Angola,32731783,,24,2,6,,16
18-04-2020,Zimbabwe,14836491,2626,25,3,2,,20
18-04-2020,Macao,648258,,45,,16,1,29
18-04-2020,Burundi,11844472,80,5,1,,,4
18-04-2020,Saint Martin,38585,,37,2,19,5,16
18-04-2020,Eritrea,3540444,,39,,3,,36
18-04-2020,Nicaragua,6615040,,9,2,6,,1
18-04-2020,Antigua and Barbuda,97833,73,23,3,3,1,17
18-04-2020,Botswana,2345678,3602,15,1,,,14
18-04-2020,Gambia,2407856,316,9,1,2,,6
18-04-2020,Timor-Leste,1315315,,18,,1,,17
18-04-2020,Grenada,112462,92,14,,6,4,8
18-04-2020,Bhutan,770586,8107,5,,2,,3
18-04-2020,Laos,7262665,1318,19,,2,,17
18-04-2020,Belize,396732,651,18,2,,1,16
18-04-2020,Fiji,895677,,17,,,,17
18-04-2020,New Caledonia,285170,3399,18,,14,1,4
18-04-2020,Saint Lucia,183529,344,15,,11,,4
18-04-2020,St. Vincent Grenadines,110899,87,12,,1,,11
18-04-2020,Curaçao,164015,286,14,1,11,,2
18-04-2020,Dominica,71965,345,16,,8,,8
18-04-2020,Namibia,2535193,499,16,,6,,10
18-04-2020,Saint Kitts and Nevis,53155,234,14,,,,14
18-04-2020,Falkland Islands,3467,319,11,,3,,8
18-04-2020,Turks and Caicos,38653,83,11,1,,,10
18-04-2020,Vatican City,801,,8,,2,,6
18-04-2020,Comoros,867268,,,,,,
18-04-2020,Montserrat,4992,36,11,,2,1,9
18-04-2020,Suriname,586006,,10,1,6,,3
18-04-2020,Greenland,56759,1043,11,,11,,0
18-04-2020,Seychelles,98275,,11,,5,,6
18-04-2020,British Virgin Islands,30207,,4,,2,,2
18-04-2020,Papua New Guinea,8925907,167,7,,,,7
18-04-2020,Caribbean Netherlands,26194,10,3,,,,3
18-04-2020,St. Barth,9874,,6,,5,,1
18-04-2020,Western Sahara,595462,,6,,,,6
18-04-2020,Anguilla,14987,,3,,1,,2
18-04-2020,Lesotho,2140235,,,,,,
18-04-2020,Saint Pierre Miquelon,5797,,1,,,,1
19-04-2020,USA,330774664,3861549,763832,40553,71003,13566,652276
19-04-2020,Russia,145927292,1940000,42853,361,3291,8,39201
19-04-2020,Spain,46752703,930230,198674,20453,77357,7371,100864
19-04-2020,Brazil,212380932,62985,38654,2462,22130,6634,14062
19-04-2020,UK,67844241,482063,120067,16060,,1559,103663
19-04-2020,Italy,60471924,1356541,178972,23660,47055,2635,108257
19-04-2020,France,65256826,463662,152894,19718,36578,5744,96598
19-04-2020,Germany,83752855,1728357,145742,4642,88000,2889,53100
19-04-2020,Turkey,84230075,634277,86306,2017,11976,1922,72313
19-04-2020,Iran,83862642,341662,82211,5118,57023,3456,20070
19-04-2020,India,1378381772,401586,17615,559,2854,,14202
19-04-2020,Peru,32915899,143745,15628,400,6811,167,8417
19-04-2020,China,1439323776,,82735,4632,77062,85,1041
19-04-2020,Canada,37702769,536062,35056,1587,11843,557,21626
19-04-2020,Saudi Arabia,34747330,180000,9362,97,1398,97,7867
19-04-2020,Belgium,11583739,153778,38496,5683,8757,1081,24056
19-04-2020,Mexico,128770253,49167,7497,650,2627,207,4220
19-04-2020,Chile,19096687,113649,10088,133,4338,360,5617
19-04-2020,Netherlands,17130492,154911,32655,3684,,1176,28721
19-04-2020,Pakistan,220356788,98522,8348,168,1868,46,6312
19-04-2020,Qatar,2875047,62538,5448,8,518,37,4922
19-04-2020,Ecuador,17610231,31809,9468,474,1061,124,7933
19-04-2020,Switzerland,8647139,221263,27740,1393,17800,386,8547
19-04-2020,Belarus,9449678,98231,4779,47,494,65,4238
19-04-2020,Sweden,10091856,74600,14385,1540,550,450,12295
19-04-2020,Portugal,10200063,235878,20206,714,610,224,18882
19-04-2020,Singapore,5844888,94796,6588,11,768,22,5809
19-04-2020,Ireland,4931150,90646,15251,610,77,294,14564
19-04-2020,UAE,9875965,767000,6781,41,1286,1,5454
19-04-2020,Bangladesh,164493041,23941,2456,91,75,1,2290
19-04-2020,Poland,37851327,204246,9287,360,1040,160,7887
19-04-2020,Ukraine,43762985,57111,5449,141,347,45,4961
19-04-2020,Indonesia,273176544,42219,6575,582,686,,5307
19-04-2020,Romania,19251921,93611,8746,451,1892,256,6403
19-04-2020,Israel,8638917,187250,13491,172,3754,146,9565
19-04-2020,South Africa,59218133,114711,3158,54,903,36,2201
19-04-2020,Japan,126520115,112816,10797,236,1159,217,9402
19-04-2020,Colombia,50817787,62746,3792,179,711,98,2902
19-04-2020,Austria,9000366,179243,14749,452,10501,204,3796
19-04-2020,Kuwait,4262847,,1915,7,305,38,1603
19-04-2020,Egypt,102094004,55000,3144,239,732,,2173
19-04-2020,Dominican Republic,10834889,15583,4680,226,363,114,4091
19-04-2020,Philippines,109403890,59928,6259,409,572,1,5278
19-04-2020,S. Korea,51264120,559109,10661,234,8042,55,2385
19-04-2020,Denmark,5789832,94277,7384,355,4141,84,2888
19-04-2020,Serbia,8741321,38701,6318,122,753,120,5443
19-04-2020,Panama,4306425,19091,4273,120,140,96,4013
19-04-2020,Czechia,10706690,168096,6746,186,1298,84,5262
19-04-2020,Argentina,45146322,32712,2941,134,709,123,2098
19-04-2020,Norway,5416217,142166,7078,165,32,58,6881
19-04-2020,Algeria,43752773,6500,2629,375,1047,40,1207
19-04-2020,Bahrain,1693667,85126,1881,7,759,2,1115
19-04-2020,Afghanistan,38817349,6422,996,33,131,7,832
19-04-2020,Australia,25464216,420996,6612,71,4230,48,2311
19-04-2020,Morocco,36857758,15123,2855,141,327,1,2387
19-04-2020,Malaysia,32315733,103892,5389,89,3197,46,2103
19-04-2020,Kazakhstan,18749587,100878,1676,17,400,22,1259
19-04-2020,Finland,5539729,57300,3783,94,1700,68,1989
19-04-2020,Nigeria,205486161,7153,627,21,170,2,436
19-04-2020,Moldova,4035024,10488,2472,67,457,80,1948
19-04-2020,Ghana,30991423,68591,1042,9,99,4,934
19-04-2020,Oman,5089968,,1266,7,233,3,1026
19-04-2020,Armenia,2962604,12680,1291,20,545,30,726
19-04-2020,Bolivia,11653648,3569,520,32,31,3,457
19-04-2020,Luxembourg,624724,33666,3550,73,627,31,2850
19-04-2020,Iraq,40108260,56147,1539,82,1009,,448
19-04-2020,Hungary,9663123,46353,1916,189,250,61,1477
19-04-2020,Cameroon,26461313,,1017,42,305,33,670
19-04-2020,Azerbaijan,10128288,95747,1398,19,712,21,667
19-04-2020,Thailand,69779718,100498,2765,47,1928,61,790
19-04-2020,Greece,10428746,53290,2235,113,269,67,1853
19-04-2020,Guinea,13086759,,579,5,87,,487
19-04-2020,Uzbekistan,33409960,136000,1565,5,225,8,1335
19-04-2020,Honduras,9885245,2535,472,46,15,10,411
19-04-2020,Sudan,43719159,,66,10,6,,50
19-04-2020,Senegal,16687100,,367,3,220,1,144
19-04-2020,Bosnia and Herzegovina,3283087,17818,1285,48,347,4,890
19-04-2020,Bulgaria,6954222,26417,894,42,161,36,691
19-04-2020,Croatia,4108081,24186,1871,47,709,23,1115
19-04-2020,Ivory Coast,26294743,,847,9,260,,578
19-04-2020,Guatemala,17874358,7200,257,7,21,3,229
19-04-2020,Cuba,11327404,26982,1035,34,255,16,746
19-04-2020,North Macedonia,2083384,11870,1207,51,179,15,977
19-04-2020,Iceland,340982,41091,1771,9,1291,3,471
19-04-2020,Estonia,1326433,40333,1528,40,164,10,1324
19-04-2020,Tajikistan,9510530,,,,,,
19-04-2020,Lithuania,2726360,64035,1298,35,242,14,1021
19-04-2020,DRC,89204344,,327,25,26,,276
19-04-2020,Djibouti,986245,8144,846,2,102,,742
19-04-2020,New Zealand,4817585,83224,1431,12,912,18,507
19-04-2020,Slovakia,5459339,44278,1161,12,229,10,920
19-04-2020,Slovenia,2078905,41265,1330,74,192,26,1064
19-04-2020,Somalia,15835721,,164,7,3,2,154
19-04-2020,Gabon,2219053,572,109,1,7,,101
19-04-2020,El Salvador,6482375,11160,201,7,44,1,150
19-04-2020,Mayotte,271976,1850,271,4,117,5,150
19-04-2020,Kyrgyzstan,6510930,26147,554,5,133,5,416
19-04-2020,Maldives,539365,3714,52,,16,,36
19-04-2020,Hong Kong,7489763,131786,1026,4,602,8,420
19-04-2020,Tunisia,11803787,16098,879,38,43,33,798
19-04-2020,Guinea-Bissau,1962083,1500,50,,3,,47
19-04-2020,Latvia,1888464,35881,727,5,88,5,634
19-04-2020,Sri Lanka,21402783,6463,271,7,96,1,168
19-04-2020,Albania,2878155,5542,562,26,314,5,222
19-04-2020,Lebanon,6828869,20929,673,21,102,27,550
19-04-2020,Cyprus,1206320,34087,767,12,81,15,674
19-04-2020,Kenya,53621669,13239,270,14,67,2,189
19-04-2020,Niger,24088734,4715,648,20,117,,511
19-04-2020,Mali,20174887,,224,14,42,,168
19-04-2020,Costa Rica,5088572,10417,660,5,112,10,543
19-04-2020,Burkina Faso,20829100,,576,36,338,,202
19-04-2020,Paraguay,7121943,4950,206,8,41,1,157
19-04-2020,Andorra,77251,1673,713,36,235,17,442
19-04-2020,Zambia,18317156,2586,61,3,33,1,25
19-04-2020,Uruguay,3472331,13207,517,10,298,14,209
19-04-2020,Equatorial Guinea,1396874,854,79,,4,,75
19-04-2020,Georgia,3990035,5027,394,4,93,6,297
19-04-2020,San Marino,33923,1711,461,39,60,4,362
19-04-2020,Jordan,10191015,29000,417,7,276,5,134
19-04-2020,Venezuela,28445034,299714,256,9,117,4,130
19-04-2020,Malta,441407,23253,427,3,118,2,306
19-04-2020,Channel Islands,173672,3320,488,21,73,,394
19-04-2020,Haiti,11385726,498,47,3,,,44
19-04-2020,Jamaica,2959659,1605,173,5,27,,141
19-04-2020,Chad,16364523,,33,,8,,25
19-04-2020,Sierra Leone,7956645,,35,,6,,29
19-04-2020,Tanzania,59512999,,170,7,11,4,152
19-04-2020,Réunion,894557,,408,,237,4,171
19-04-2020,Taiwan,23811805,53005,420,6,189,,225
19-04-2020,Congo,5500730,,143,6,11,,126
19-04-2020,Palestine,5086351,17329,439,3,71,,365
19-04-2020,Nepal,29071791,29567,31,,4,,27
19-04-2020,Ethiopia,114599417,7557,108,3,16,1,89
19-04-2020,Benin,12082333,,35,1,18,,16
19-04-2020,Isle of Man,84980,2465,298,6,193,10,99
19-04-2020,Mauritius,1271525,9755,328,9,208,3,111
19-04-2020,Togo,8254058,4295,84,5,52,,27
19-04-2020,Cabo Verde,555261,,61,1,1,,59
19-04-2020,CAR,4819377,,12,,4,,8
19-04-2020,Montenegro,628057,3874,308,5,55,7,248
19-04-2020,Vietnam,97234232,206253,268,,202,8,66
19-04-2020,Madagascar,27599599,2357,121,,39,1,82
19-04-2020,Rwanda,12911155,6959,147,,76,,71
19-04-2020,South Sudan,11177895,,4,,,,4
19-04-2020,Uganda,45550580,11101,55,,28,,27
19-04-2020,Sao Tome and Principe,218653,19,4,,,,4
19-04-2020,Liberia,5042565,,91,8,7,,76
19-04-2020,French Guiana,297687,,96,,64,2,32
19-04-2020,Eswatini,1158724,714,22,1,8,,13
19-04-2020,Martinique,375298,,163,12,73,11,78
19-04-2020,Myanmar,54366792,4605,111,5,7,,99
19-04-2020,Faeroe Islands,48841,6021,185,,176,,9
19-04-2020,Guadeloupe,400116,,148,8,73,13,67
19-04-2020,Gibraltar,33692,1912,132,,120,1,12
19-04-2020,Mozambique,31141818,1037,39,,8,,31
19-04-2020,Brunei,436979,11472,138,1,115,2,22
19-04-2020,Mongolia,3271795,1554,32,,7,,25
19-04-2020,Yemen,29742981,,1,,,,1
19-04-2020,Bermuda,62304,638,86,5,35,10,46
19-04-2020,Guyana,786108,322,65,7,9,4,49
19-04-2020,Cambodia,16690788,5768,122,,105,1,17
19-04-2020,Trinidad and Tobago,1398962,1335,114,8,21,,85
19-04-2020,Aruba,106713,1442,97,2,49,4,46
19-04-2020,Monaco,39209,,94,3,22,3,69
19-04-2020,Bahamas,392795,,60,9,11,1,40
19-04-2020,Cayman Islands,65629,702,61,1,7,3,53
19-04-2020,Barbados,287335,1000,75,5,17,4,53
19-04-2020,Liechtenstein,38115,900,81,1,55,,25
19-04-2020,Mauritania,4633922,913,7,1,6,,0
19-04-2020,Sint Maarten,42817,163,67,10,12,6,45
19-04-2020,Malawi,19066433,429,17,2,3,1,12
19-04-2020,Libya,6859926,725,51,1,11,,39
19-04-2020,French Polynesia,280717,1302,55,,2,1,53
19-04-2020,Syria,17446406,,39,3,5,,31
19-04-2020,Angola,32731783,,24,2,6,,16
19-04-2020,Zimbabwe,14836491,2851,25,3,2,,20
19-04-2020,Macao,648258,,45,,17,1,28
19-04-2020,Burundi,11844472,80,5,1,,,4
19-04-2020,Saint Martin,38585,,37,2,19,5,16
19-04-2020,Eritrea,3540444,,39,,3,,36
19-04-2020,Nicaragua,6615040,,10,2,6,,2
19-04-2020,Antigua and Barbuda,97833,73,23,3,3,1,17
19-04-2020,Botswana,2345678,4432,20,1,,,19
19-04-2020,Gambia,2407856,316,10,1,2,,7
19-04-2020,Timor-Leste,1315315,,19,,1,,18
19-04-2020,Grenada,112462,92,14,,6,4,8
19-04-2020,Bhutan,770586,8107,5,,2,,3
19-04-2020,Laos,7262665,1333,19,,2,,17
19-04-2020,Belize,396732,651,18,2,2,1,14
19-04-2020,Fiji,895677,,17,,,,17
19-04-2020,New Caledonia,285170,3399,18,,15,1,3
19-04-2020,Saint Lucia,183529,344,15,,11,,4
19-04-2020,St. Vincent Grenadines,110899,87,12,,1,,11
19-04-2020,Curaçao,164015,286,14,1,11,,2
19-04-2020,Dominica,71965,345,16,,8,,8
19-04-2020,Namibia,2535193,524,16,,6,,10
19-04-2020,Saint Kitts and Nevis,53155,234,14,,,,14
19-04-2020,Falkland Islands,3467,319,11,,3,,8
19-04-2020,Turks and Caicos,38653,83,11,1,,,10
19-04-2020,Vatican City,801,,8,,2,,6
19-04-2020,Comoros,867268,,,,,,
19-04-2020,Montserrat,4992,36,11,,2,1,9
19-04-2020,Suriname,586006,,10,1,6,,3
19-04-2020,Greenland,56759,1043,11,,11,,0
19-04-2020,Seychelles,98275,,11,,5,,6
19-04-2020,British Virgin Islands,30207,,4,1,2,,1
19-04-2020,Papua New Guinea,8925907,167,7,,,,7
19-04-2020,Caribbean Netherlands,26194,110,5,,,,5
19-04-2020,St. Barth,9874,,6,,5,,1
19-04-2020,Western Sahara,595462,,6,,,,6
19-04-2020,Anguilla,14987,,3,,1,,2
19-04-2020,Lesotho,2140235,,,,,,
19-04-2020,Saint Pierre Miquelon,5797,,1,,,,1
20-04-2020,USA,330774664,4026360,792759,42514,72389,13951,677856
20-04-2020,Russia,145927292,2053319,47121,405,3446,700,43270
20-04-2020,Spain,46752703,930230,200210,20852,80587,7371,98771
20-04-2020,Brazil,212380932,291922,40743,2587,22130,7919,16026
20-04-2020,UK,67844241,501379,124743,16509,,1559,107890
20-04-2020,Italy,60471924,1398024,181228,24114,48877,2573,108237
20-04-2020,France,65256826,463662,155383,20265,37409,5683,97709
20-04-2020,Germany,83752855,1728357,147065,4862,91500,2889,50703
20-04-2020,Turkey,84230075,673980,90980,2140,13430,1909,75410
20-04-2020,Iran,83862642,353012,83505,5209,59273,3389,19023
20-04-2020,India,1378381772,401586,18539,592,3273,,14674
20-04-2020,Peru,32915899,148011,16325,445,6968,385,8912
20-04-2020,China,1439323776,,82747,4632,77084,81,1031
20-04-2020,Canada,37702769,559578,36829,1690,12586,557,22553
20-04-2020,Saudi Arabia,34747330,180000,10484,103,1490,88,8891
20-04-2020,Belgium,11583739,161896,39983,5828,8895,1071,25260
20-04-2020,Mexico,128770253,49570,8261,686,2627,207,4948
20-04-2020,Chile,19096687,118827,10507,139,4676,377,5692
20-04-2020,Netherlands,17130492,171415,33405,3751,,1158,29404
20-04-2020,Pakistan,220356788,104302,8892,176,1970,46,6746
20-04-2020,Qatar,2875047,64620,6015,9,555,37,5451
20-04-2020,Ecuador,17610231,32453,10128,507,1150,124,8471
20-04-2020,Switzerland,8647139,224442,27944,1429,18600,386,7915
20-04-2020,Belarus,9449678,102556,6264,51,514,92,5699
20-04-2020,Sweden,10091856,74600,14777,1580,550,521,12647
20-04-2020,Portugal,10200063,235878,20863,735,610,215,19518
20-04-2020,Singapore,5844888,94796,8014,11,801,23,7202
20-04-2020,Ireland,4931150,90646,15652,687,77,294,14888
20-04-2020,UAE,9875965,790000,7265,43,1360,1,5862
20-04-2020,Bangladesh,164493041,26604,2948,101,85,1,2762
20-04-2020,Poland,37851327,214236,9593,380,1133,160,8080
20-04-2020,Ukraine,43762985,58093,5710,151,359,45,5200
20-04-2020,Indonesia,273176544,43749,6760,590,747,,5423
20-04-2020,Romania,19251921,98491,8936,478,2017,261,6441
20-04-2020,Israel,8638917,240303,13713,177,4049,149,9487
20-04-2020,South Africa,59218133,121510,3300,58,1055,36,2187
20-04-2020,Japan,126520115,116725,11135,263,1239,217,9633
20-04-2020,Colombia,50817787,62746,3977,189,804,98,2984
20-04-2020,Austria,9000366,182949,14795,470,10631,194,3694
20-04-2020,Kuwait,4262847,,1995,9,367,39,1619
20-04-2020,Egypt,102094004,55000,3333,250,821,,2262
20-04-2020,Dominican Republic,10834889,57809,4964,235,416,128,4313
20-04-2020,Philippines,109403890,59928,6459,428,613,1,5418
20-04-2020,S. Korea,51264120,563035,10674,236,8114,55,2324
20-04-2020,Denmark,5789832,96244,7515,364,4312,84,2839
20-04-2020,Serbia,8741321,41812,6630,125,870,108,5635
